,Reference,Module,Distance
0,SCE_1_secure_validator_SQL.cpp,line_126.c,0.3599590428006003
1,SCE_1_secure_validator_SQL.cpp,line_197.c,0.3601455151870413
2,SCE_1_secure_validator_SQL.cpp,line_534.c,0.3526563644711883
3,SCE_1_secure_validator_SQL.cpp,line_594.c,0.3649057394039963
4,SCE_1_secure_validator_SQL.cpp,line_1043.c,0.36501719757690676
5,SCE_1_secure_validator_SQL.cpp,line_1106.c,0.3842577233127151
6,SCE_1_secure_validator_SQL.cpp,line_1570.c,0.342335216744606
7,SCE_1_secure_validator_SQL.cpp,line_1636.c,0.35954826306026444
8,SCE_1_secure_validator_SQL.cpp,line_1798.c,0.3338266676160745
9,SCE_1_secure_validator_SQL.cpp,line_1865.c,0.3473068912427595
10,SCE_1_secure_validator_SQL.cpp,line_5933.c,0.35867895113749915
11,SCE_1_secure_validator_SQL.cpp,line_5994.c,0.3918990090779455
12,SCE_1_secure_validator_SQL.cpp,line_8142.c,0.36036391854637184
13,SCE_1_secure_validator_SQL.cpp,line_8797.c,0.37845092510873113
14,SCE_2_zip_code_validation.cpp,line_126.c,0.3651493036031759
15,SCE_2_zip_code_validation.cpp,line_197.c,0.35932339897606114
16,SCE_2_zip_code_validation.cpp,line_534.c,0.3672946164760953
17,SCE_2_zip_code_validation.cpp,line_594.c,0.36827383454839313
18,SCE_2_zip_code_validation.cpp,line_1043.c,0.3676124464234246
19,SCE_2_zip_code_validation.cpp,line_1106.c,0.3668126807716585
20,SCE_2_zip_code_validation.cpp,line_1570.c,0.3528574622580256
21,SCE_2_zip_code_validation.cpp,line_1636.c,0.3526654685228461
22,SCE_2_zip_code_validation.cpp,line_1798.c,0.3556481142868251
23,SCE_2_zip_code_validation.cpp,line_1865.c,0.3557695121043436
24,SCE_2_zip_code_validation.cpp,line_5933.c,0.3764938477666604
25,SCE_2_zip_code_validation.cpp,line_5994.c,0.3911417148791122
26,SCE_2_zip_code_validation.cpp,line_8142.c,0.3651313342223119
27,SCE_2_zip_code_validation.cpp,line_8797.c,0.369009655018518
28,SCE_3_free_text_letters_only_py.cpp,line_126.c,0.4115507838425393
29,SCE_3_free_text_letters_only_py.cpp,line_197.c,0.41314453530846873
30,SCE_3_free_text_letters_only_py.cpp,line_534.c,0.4272680504856178
31,SCE_3_free_text_letters_only_py.cpp,line_594.c,0.44283485973189074
32,SCE_3_free_text_letters_only_py.cpp,line_1043.c,0.4117567487136309
33,SCE_3_free_text_letters_only_py.cpp,line_1106.c,0.40194788006175197
34,SCE_3_free_text_letters_only_py.cpp,line_1570.c,0.4358550144792215
35,SCE_3_free_text_letters_only_py.cpp,line_1636.c,0.42097068945468585
36,SCE_3_free_text_letters_only_py.cpp,line_1798.c,0.4170914755254417
37,SCE_3_free_text_letters_only_py.cpp,line_1865.c,0.40548416307974344
38,SCE_3_free_text_letters_only_py.cpp,line_5933.c,0.41645955293056214
39,SCE_3_free_text_letters_only_py.cpp,line_5994.c,0.43525138086675685
40,SCE_3_free_text_letters_only_py.cpp,line_8142.c,0.41956219950485885
41,SCE_3_free_text_letters_only_py.cpp,line_8797.c,0.4367788627190786
42,VCE_1_flag_no_validation.cpp,line_126.c,0.3354988345972013
43,VCE_1_flag_no_validation.cpp,line_197.c,0.3281589737654731
44,VCE_1_flag_no_validation.cpp,line_534.c,0.3510350840253137
