,Reference,Module,Distance
0,SCE_10_validated_multithreading.cpp,bio.c,0.6807696013398303
1,SCE_10_validated_multithreading.cpp,conf.c,0.6698422642791061
2,SCE_10_validated_multithreading.cpp,crl.c,0.6788796278981419
3,SCE_10_validated_multithreading.cpp,dtls.c,0.7669431271091475
4,SCE_10_validated_multithreading.cpp,dtls13.c,0.7526231141750137
5,SCE_10_validated_multithreading.cpp,include.am,0.7690620061548318
6,SCE_10_validated_multithreading.cpp,internal.c,0.7311247324500967
7,SCE_10_validated_multithreading.cpp,keys.c,0.7524797063742279
8,SCE_10_validated_multithreading.cpp,ocsp.c,0.6878039884814009
9,SCE_10_validated_multithreading.cpp,pk.c,0.7138766278499059
10,SCE_10_validated_multithreading.cpp,quic.c,0.6822230451278396
11,SCE_10_validated_multithreading.cpp,sniffer.c,0.7126591866375771
12,SCE_10_validated_multithreading.cpp,ssl.c,0.6816755424115497
13,SCE_10_validated_multithreading.cpp,tls.c,0.7362501124464935
14,SCE_10_validated_multithreading.cpp,tls13.c,0.7608232118444545
15,SCE_10_validated_multithreading.cpp,wolfio.c,0.6672044706903519
16,SCE_10_validated_multithreading.cpp,x509.c,0.6609205154156335
17,SCE_10_validated_multithreading.cpp,x509_str.c,0.6943950706702772
18,SCE_1_secure_validator_SQL.cpp,bio.c,0.6348731664031235
19,SCE_1_secure_validator_SQL.cpp,conf.c,0.6248656245422223
20,SCE_1_secure_validator_SQL.cpp,crl.c,0.6630521009688728
21,SCE_1_secure_validator_SQL.cpp,dtls.c,0.7431739095415999
22,SCE_1_secure_validator_SQL.cpp,dtls13.c,0.7012362900708958
23,SCE_1_secure_validator_SQL.cpp,include.am,0.6849352647666571
24,SCE_1_secure_validator_SQL.cpp,internal.c,0.6937858756929902
25,SCE_1_secure_validator_SQL.cpp,keys.c,0.7285016494527404
26,SCE_1_secure_validator_SQL.cpp,ocsp.c,0.699325696709741
27,SCE_1_secure_validator_SQL.cpp,pk.c,0.670678932984419
28,SCE_1_secure_validator_SQL.cpp,quic.c,0.6796982624901358
29,SCE_1_secure_validator_SQL.cpp,sniffer.c,0.6855450249382165
